Time;X Machine;Z Machine;Z Machine;Block time;
0:28:05;19.411;-12.5;-12.5;0:00:06;
0:28:12;27.011;-12.5;-12.5;0:00:07;
0:28:17;35.812;-12.5;-12.5;0:00:05;
0:28:24;43.412;-12.5;-12.5;0:00:07;
0:28:31;43.412;-12.5;-12.5;0:00:06;
0:28:33;39.662;-12.5;-12.5;0:00:02;
0:28:37;35.812;-12.5;-12.5;0:00:03;
0:28:42;27.011;-12.5;-12.5;0:00:05;
0:28:46;23.161;-12.5;-12.5;0:00:03;
0:28:52;23.161;-12.5;-12.5;0:00:06;
0:28:56;27.011;-12.5;-12.5;0:00:03;
0:29:01;35.812;-12.5;-12.5;0:00:05;
0:29:05;39.662;-12.5;-12.5;0:00:03;
0:29:12;39.662;-12.5;-12.5;0:00:06;
0:29:16;47.162;-12.5;-12.5;0:00:04;
0:29:20;45.077;-12.5;-12.5;0:00:04;
0:29:23;45.077;-12.5;-12.5;0:00:02;
0:29:33;62.81;-12.5;-12.5;0:00:10;
0:29:48;62.81;-12.5;-12.5;0:00:14;
0:29:50;60.685;-12.5;-12.5;0:00:02;
0:30:28;65.785;-12.5;-12.5;0:00:37;
0:30:34;60.685;-12.5;-12.5;0:00:06;
0:30:37;62.81;-12.5;-12.5;0:00:02;
0:31:03;42.162;-12.5;-12.5;0:00:26;
0:31:19;16.098;-12.5;-12.5;0:00:15;
0:31:24;16.098;-12.5;-12.5;0:00:04;
0:31:26;12.348;-12.5;-12.5;0:00:02;
0:31:48;12.348;-12.5;-12.5;0:00:22;
0:31:54;18.498;-12.5;-12.5;0:00:05;
0:32:22;65.41;-12.5;-12.5;0:00:28;
0:32:23;66.56;-12.5;-12.5;0:00:01;
0:32:51;66.56;-12.5;-12.5;0:00:28;
0:32:57;60.41;-12.5;-12.5;0:00:05;
0:33:25;13.498;-12.5;-12.5;0:00:28;
0:33:26;12.348;-12.5;-12.5;0:00:01;
0:33:33;12.348;-12.5;-12.5;0:00:06;
0:33:33;12.348;10.;10.;0:00:00;
0:33:33;12.348;10.;10.;0:00:00;
0:33:33;12.348;10.;10.;0:00:00;
0:33:33;12.348;10.;10.;0:00:00;
0:33:33;12.348;10.;10.;0:00:00;
0:33:33;12.348;10.;10.;0:00:00;
0:33:33;12.348;10.;10.;0:00:00;
0:33:33;10.998;10.;10.;0:00:00;
0:33:33;10.998;1.;1.;0:00:00;
0:33:35;10.998;-5.;-5.;0:00:01;
0:34:03;10.998;-5.;-5.;0:00:28;
0:34:10;18.498;-5.;-5.;0:00:07;
0:34:38;65.41;-5.;-5.;0:00:28;
0:34:40;67.91;-5.;-5.;0:00:02;
0:35:09;67.91;-5.;-5.;0:00:28;
0:35:16;60.41;-5.;-5.;0:00:07;
0:35:44;13.498;-5.;-5.;0:00:28;
0:35:46;10.998;-5.;-5.;0:00:02;
0:35:46;10.998;10.;10.;0:00:00;
0:35:46;10.998;10.;10.;0:00:00;
0:35:47;27.011;10.;10.;0:00:00;
0:35:47;27.011;1.;1.;0:00:00;
0:35:48;27.011;-5.;-5.;0:00:01;
0:35:54;35.812;-5.;-5.;0:00:05;
0:35:56;38.312;-5.;-5.;0:00:02;
